run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf,packetReceivedFromPeerMulticast:sum(packetBytes),title,"packets received: multicast, sum(packetBytes)",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].wlan[0].mac.dcf,packetReceivedFromPeerBroadcast:count,,,0,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf,packetReceivedFromPeerBroadcast:count,interpolationmode,none,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf,packetReceivedFromPeerBroadcast:count,source,ieee80211Broadcast(packetReceivedFromPeer),,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf,packetReceivedFromPeerBroadcast:count,title,"packets received: broadcast, count",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].wlan[0].mac.dcf,packetReceivedFromPeerBroadcast:sum(packetBytes),,,0,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf,packetReceivedFromPeerBroadcast:sum(packetBytes),interpolationmode,none,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf,packetReceivedFromPeerBroadcast:sum(packetBytes),source,ieee80211Broadcast(packetReceivedFromPeer),,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf,packetReceivedFromPeerBroadcast:sum(packetBytes),title,"packets received: broadcast, sum(packetBytes)",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].wlan[0].mac.dcf,packetReceivedFromPeerWithRetry:count,,,0,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf,packetReceivedFromPeerWithRetry:count,interpolationmode,none,,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf,packetReceivedFromPeerWithRetry:count,source,ieee80211Retry(packetReceivedFromPeer),,,,,,,,,
canvas-0-20220516-13:45:31-12521,attr,Scenario.node[32].wlan[0].mac.dcf,packetReceivedFromPeerWithRetry:count,title,"packets received: with retry, count",,,,,,,,,
canvas-0-20220516-13:45:31-12521,scalar,Scenario.node[32].wlan[0].mac.dcf,packetReceivedFromPeerWithRetry:sum(packetBytes),,,0,,,,,,,,
